RUN case=model mame_commit=a5cc550d0a2cf7218cbd94c1a0780f7a713f8d8e
RUN rom_sha256=e262e6aa26ddf6c7c8aa02f636d422709309e0a08945739b84886204d1693e33
[:xdata] XDATA model storage=enabled unknown_read=open-bus-ff xram_approx=0000-03ff
Soft reset
[:maincpu] write of un-hooked port 3 fd
[:maincpu] write of un-hooked port 2 ff
[:xdata] XDATA first op=W addr=00cb pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00ca pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00c9 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00c8 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00c7 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00c6 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00c5 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00c4 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00c3 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00c2 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00c1 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00c0 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00bf pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00be pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00bd pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00bc pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00bb pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00ba pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00b9 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00b8 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00b7 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00b6 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00b5 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00b4 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00b3 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00b2 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00b1 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00b0 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00af pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00ae pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00ad pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00ac pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00ab pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00aa pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00a9 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00a8 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00a7 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00a6 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00a5 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00a4 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00a3 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00a2 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00a1 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00a0 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=009f pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=009e pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=009d pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=009c pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=009b pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=009a pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0099 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0098 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0097 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0096 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0095 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0094 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0093 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0092 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0091 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0090 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=008f pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=008e pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=008d pc=8fa6 value=00 class=retained-xram-approx unknown=0
