Warning: -video none doesn't make much sense without -seconds_to_run
[:xdata] XEV seq=69 op=W addr=00c1 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=70 op=W addr=00c0 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=71 op=W addr=00bf pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=72 op=W addr=00be pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=73 op=W addr=00bd pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=74 op=W addr=00bc pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=75 op=W addr=00bb pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=76 op=W addr=00ba pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=77 op=W addr=00b9 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=78 op=W addr=00b8 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=79 op=W addr=00b7 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=80 op=W addr=00b6 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=81 op=W addr=00b5 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=82 op=W addr=00b4 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=83 op=W addr=00b3 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=84 op=W addr=00b2 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=85 op=W addr=00b1 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=86 op=W addr=00b0 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=87 op=W addr=00af pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=88 op=W addr=00ae pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=89 op=W addr=00ad pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=90 op=W addr=00ac pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=91 op=W addr=00ab pc=8fa6 value=00 class=storage taint=0
